,type_,address,area,metro_station,metro_line,date,update_date,floor,full_floor,price
1603,2-комн.кв.,"Недорубова ул, 32",66.0,Некрасовка м.,purpledark,Размещено 03 декабря 2021,"сегодня, 00:15",14,17,15224251
1614,2-комн.кв.,"Недорубова ул, 32",49.0,Некрасовка м.,purpledark,Размещено 23 октября 2021,"сегодня, 00:14",13,17,12848813
351,2-комн.кв.,"Радиальная 6-я ул, 3к6",66.0,Царицыно м.,green,Размещено 12 марта,"сегодня, 10:39",4,11,16300000
1185,3-комн.кв.,", 1",6.0,Станция не указана,Ветка не указана,Размещено 29 января,"сегодня, 00:37",5,17,8172670
1235,3-комн.кв.,", 7",59.0,Станция не указана,Ветка не указана,Размещено 3 марта,"сегодня, 00:09",17,17,11364224
142,1-комн.кв.,"Волжский б-р, 25к1",37.0,Кузьминки м.,purple,Размещено 30 марта,"сегодня, 10:39",2,17,10499999
179,1-комн.кв.,"Спасо-Тушинский б-р, 5",39.0,Станция не указана,Ветка не указана,Размещено 12 марта,"сегодня, 07:01",16,25,10000000
230,2-комн.кв.,"Героев Панфиловцев ул, 1к1",43.0,Сходненская м.,purple,Размещено 29 января,"сегодня, 10:39",8,9,14500000
54,2-комн.кв.,"Будённого пр-кт, 29/1",57.0,Соколиная Гора м.,Ветка не указана,Размещено 3 февраля,20 марта,5,8,15500000
813,3-комн.кв.,", 3",59.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:29",9,17,11232327
882,2-комн.кв.,"Радужная ул, 4",5.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",10,12,7489241
101,2-комн.кв.,"Петра Алексеева ул, 12",44.0,Кунцевская м.,Ветка не указана,Размещено 02 сентября 2021,26 марта,4,30,18500000
718,1-комн.кв.,", 3",35.0,Станция не указана,Ветка не указана,Размещено 15 марта,"сегодня, 00:13",5,17,7838143
1540,3-комн.кв.,", 3",57.0,Станция не указана,Ветка не указана,Размещено 06 ноября 2021,"сегодня, 00:11",16,17,8658767
540,2-комн.кв.,", 7",35.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:18",7,17,7591322
1117,1-комн.кв.,", 1к1",35.0,Станция не указана,Ветка не указана,Размещено 9 февраля,"сегодня, 00:38",27,28,9185262
1387,1-комн.кв.,"Недорубова ул, 32",38.0,Некрасовка м.,purpledark,Размещено 23 января,30 марта,5,23,10230383
914,2-комн.кв.,", 1",50.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:40",10,17,7016506
983,3-комн.кв.,"Радужная ул, 4",78.0,Станция не указана,Ветка не указана,Размещено 19 февраля,"сегодня, 00:39",12,12,9636818
1553,2-комн.кв.,"Камова ул, д.7к1",35.0,Станция не указана,Ветка не указана,Размещено 24 ноября 2021,"сегодня, 00:26",15,17,7543591
121,1-комн.кв.,"Братиславская ул, 12",38.0,Братиславская м.,lightgreen,Размещено 21 февраля,29 марта,9,17,11300000
840,1-комн.кв.,"Радужная ул, 4",35.0,Станция не указана,Ветка не указана,Размещено 1 марта,"сегодня, 00:35",11,12,6758033
6,2-комн.кв.,"Миклухо-Маклая ул, 30",54.0,Беляево м.,orange,Размещено 6 февраля,"сегодня, 10:39",11,17,16950000
1542,2-комн.кв.,", 3",59.0,Станция не указана,Ветка не указана,Размещено 03 декабря 2021,"сегодня, 00:28",16,17,9159927
520,1-комн.кв.,"Радужная ул, 4",6.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:08",6,12,5452057
1374,2-комн.кв.,", 3",47.0,Станция не указана,Ветка не указана,Размещено 13 января,"сегодня, 00:11",15,17,9702210
1325,2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",56.0,Бунинская аллея м.,cyan,Размещено 4 января,"сегодня, 00:33",14,15,10608418
1254,3-комн.кв.,", 1",58.0,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:27",14,17,7966677
628,1-комн.кв.,", 1",34.0,Станция не указана,Ветка не указана,Размещено 22 марта,"сегодня, 00:09",17,17,8232193
200,1-комн.кв.,"Варшавское ш, 114 2",38.0,Чертановская м.,gray,Размещено 27 февраля,26 марта,10,17,11599000
34,1-комн.кв.,"Недорубова ул, 32",3.0,Некрасовка м.,purpledark,Размещено 4 февраля,"сегодня, 00:13",10,22,9720634
