,type_,address,area,metro_station,metro_line,date,update_date,floor,full_floor,price
193,1-комн.кв.,"Дмитровское ш, 73Б",3.0,Верхние Лихоборы м.,lightgreen,Размещено 5 марта,26 марта,17,21,8500000
375,1-комн.кв.,"Олений Вал ул, 24 3",36.0,Сокольники м.,red,Размещено 26 февраля,"сегодня, 17:15",15,16,14900000
1144,1-комн.кв.,", 1к1",37.0,Станция не указана,Ветка не указана,Размещено 8 февраля,"сегодня, 00:38",18,28,9200203
554,2-комн.кв.,"Радужная ул, 4",58.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:30",6,12,7691133
38,1-комн.кв.,"Лукинская ул, 18",36.0,Новопеределкино м.,yellow,Размещено 20 марта,28 марта,3,17,10250000
317,3-комн.кв.,"Озёрная ул, 19к2",63.0,Озёрная м.,yellow,Размещено 23 марта,"сегодня, 10:39",10,14,18490000
878,2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",55.0,Бунинская аллея м.,cyan,Размещено 26 февраля,"сегодня, 00:40",12,15,10824025
1269,3-комн.кв.,", 1",6.0,Станция не указана,Ветка не указана,Размещено 23 февраля,"сегодня, 00:40",12,17,8308802
1275,1-комн.кв.,", 1к1",6.0,Станция не указана,Ветка не указана,Размещено 25 января,"сегодня, 00:36",15,31,7364469
807,1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",5.0,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:19",2,15,6675655
1068,1-комн.кв.,"Радужная ул, 4",37.0,Станция не указана,Ветка не указана,Размещено 14 февраля,"сегодня, 00:39",9,11,6823324
151,3-комн.кв.,"Перекопская ул, 21к1",68.0,Зюзино м.,turquoise,Размещено 26 марта,27 марта,4,12,22400000
43,1-комн.кв.,"Затонная ул, 14 2",35.0,Коломенская м.,green,Размещено 23 марта,"сегодня, 13:06",8,12,11150000
805,2-комн.кв.,"Недорубова ул, 32",49.0,Некрасовка м.,purpledark,Размещено 5 марта,"сегодня, 00:08",15,17,12886361
773,3-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",5.0,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:31",11,15,10735749
700,2-комн.кв.,", 1",50.0,Станция не указана,Ветка не указана,Размещено 22 марта,"сегодня, 00:21",17,17,10728504
1510,1-комн.кв.,"Камова ул, д.7к1",36.0,Станция не указана,Ветка не указана,Размещено 09 ноября 2021,"сегодня, 00:22",14,17,7344681
201,3-комн.кв.,"Энтузиастов проезд, 17",54.0,Авиамоторная м.,Ветка не указана,Размещено 15 марта,"сегодня, 10:03",3,5,15900000
1151,1-комн.кв.,", 1к1",35.0,Станция не указана,Ветка не указана,Размещено 8 февраля,"сегодня, 00:38",13,28,8764645
308,2-комн.кв.,"Новочеркасский б-р, 20к1",54.0,Марьино м.,lightgreen,Размещено 24 марта,"сегодня, 10:39",10,16,15500000
240,3-комн.кв.,"Коштоянца ул, 20к4",119.0,"Юго-Западная,Озёрная,Мичуринский проспект",Ветка не указана,Размещено 19 января,26 марта,3,24,41900000
752,3-комн.кв.,", 3",56.0,Станция не указана,Ветка не указана,Размещено 10 марта,"сегодня, 00:15",3,17,8366324
726,1-комн.кв.,", 3",37.0,Станция не указана,Ветка не указана,Размещено 15 марта,"сегодня, 00:30",3,17,7758728
1447,2-комн.кв.,"Камова ул, д.7к1",4.0,Станция не указана,Ветка не указана,Размещено 4 января,"сегодня, 00:34",14,17,8825496
585,1-комн.кв.,"Радужная ул, 4",,Станция не указана,Ветка не указана,Размещено 26 марта,30 марта,6,12,4793654
1212,2-комн.кв.,", 3",48.0,Станция не указана,Ветка не указана,Размещено 24 февраля,"сегодня, 00:40",15,17,6705829
1381,2-комн.кв.,", 7",47.0,Станция не указана,Ветка не указана,Размещено 14 декабря 2021,"сегодня, 00:31",11,17,9468036
1100,2-комн.кв.,", 1к1",59.0,Станция не указана,Ветка не указана,Размещено 9 февраля,"сегодня, 00:38",19,28,11555702
533,2-комн.кв.,", 7",36.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:31",9,17,7773635
80,1-комн.кв.,"Фрезер ш, 7/2",37.0,Нижегородская м.,Ветка не указана,Размещено 28 сентября 2021,26 марта,7,15,11400000
641,1-комн.кв.,"Маресьева ул, 6к2",3.0,Некрасовка м.,purpledark,Размещено 22 марта,"сегодня, 00:13",15,15,11431174
910,1-комн.кв.,", 1к1",37.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:42",14,28,9159808
1086,2-комн.кв.,", 3",47.0,Станция не указана,Ветка не указана,Размещено 12 февраля,"сегодня, 00:17",6,17,7270596
1218,2-комн.кв.,", 2",36.0,Станция не указана,Ветка не указана,Размещено 18 января,"сегодня, 00:35",15,15,8231991
571,3-комн.кв.,"Радужная ул, 4",79.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:07",6,12,9283520
1141,1-комн.кв.,", 1к1",35.0,Станция не указана,Ветка не указана,Размещено 8 февраля,"сегодня, 00:38",18,28,8646289
132,2-комн.кв.,"Балаклавский пр-кт, 15В",74.0,Чертановская м.,gray,Размещено 25 января,"сегодня, 10:39",7,25,20610000
925,1-комн.кв.,", 1к1",31.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:31",20,28,8089723
199,2-комн.кв.,"Базовская ул, 17",59.0,Селигерская м.,lightgreen,Размещено 28 февраля,26 марта,11,16,16500000
664,1-комн.кв.,", 1",34.0,Станция не указана,Ветка не указана,Размещено 22 марта,"сегодня, 00:14",16,17,8375395
1619,2-комн.кв.,"Недорубова ул, 32",66.0,Некрасовка м.,purpledark,Размещено 23 октября 2021,"сегодня, 00:14",12,17,15179840
480,1-комн.кв.,"Братьев Горожанкиных ул, 32",43.0,Станция не указана,Ветка не указана,Размещено 31 октября 2021,11 марта,8,10,6435000
748,1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",37.0,Бунинская аллея м.,cyan,Размещено 12 марта,"сегодня, 00:23",3,13,10411492
826,1-комн.кв.,", 1к1",31.0,Станция не указана,Ветка не указана,Размещено 2 марта,"сегодня, 00:39",8,28,7964332
909,2-комн.кв.,"Радужная ул, 4",58.0,Станция не указана,Ветка не указана,Размещено 1 марта,"сегодня, 00:36",9,11,7720154
175,2-комн.кв.,"Карачаровская 3-я ул, 9к2",4.0,Нижегородская м.,Ветка не указана,Размещено 16 марта,"сегодня, 10:39",5,9,12500000
809,3-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",5.0,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:23",8,12,10957409
172,3-комн.кв.,"Мичуринский пр-кт, 29",13.0,Раменки м.,yellow,Размещено 17 марта,"сегодня, 07:01",4,19,50000000
1059,3-комн.кв.,"Радужная ул, 4",58.0,Станция не указана,Ветка не указана,Размещено 14 февраля,"сегодня, 00:39",6,11,8068071
1478,2-комн.кв.,", 1к1",55.0,Станция не указана,Ветка не указана,Размещено 09 ноября 2021,"сегодня, 00:21",4,28,11369736
1109,3-комн.кв.,", 1к1",77.0,Станция не указана,Ветка не указана,Размещено 9 февраля,"сегодня, 00:38",19,28,15764372
821,2-комн.кв.,", 3",45.0,Станция не указана,Ветка не указана,Размещено 3 марта,"сегодня, 00:22",9,17,9227497
1244,1-комн.кв.,", 1",35.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",10,17,5956665
1191,3-комн.кв.,", 1",6.0,Станция не указана,Ветка не указана,Размещено 28 января,30 марта,7,17,8212352
547,2-комн.кв.,", 1",35.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:27",9,10,7790775
985,1-комн.кв.,"Радужная ул, 4",37.0,Станция не указана,Ветка не указана,Размещено 19 февраля,30 марта,11,11,7045493
409,1-комн.кв.,"Рязанский пр-кт, 67/2",34.0,Рязанский пр-т м.,purple,Размещено 8 февраля,26 марта,1,12,10000000
418,1-комн.кв.,"Красностуденческий проезд, 23",37.0,Тимирязевская м.,Ветка не указана,Размещено 1 февраля,"сегодня, 10:39",3,12,13000000
1234,3-комн.кв.,", 7",59.0,Станция не указана,Ветка не указана,Размещено 19 февраля,"сегодня, 00:26",17,17,11387340
562,2-комн.кв.,", 1к1",57.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:39",27,28,11490598
1029,3-комн.кв.,"Радужная ул, 4",5.0,Станция не указана,Ветка не указана,Размещено 18 февраля,"сегодня, 00:39",12,12,7993002
1084,2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",35.0,Бунинская аллея м.,cyan,Размещено 14 февраля,"сегодня, 00:33",9,11,8172471
1423,3-комн.кв.,", 3",59.0,Станция не указана,Ветка не указана,Размещено 14 января,"сегодня, 00:34",9,17,8794542
70,2-комн.кв.,Прибрежный проезд,45.0,Ховрино м.,green,Размещено 28 декабря 2021,30 марта,3,12,12799999
768,2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",56.0,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:28",4,15,10188278
265,3-комн.кв.,", 47",71.0,Станция не указана,Ветка не указана,Размещено 09 декабря 2021,26 марта,9,14,9700000
1156,1-комн.кв.,", 1к1",34.0,Станция не указана,Ветка не указана,Размещено 8 февраля,"сегодня, 00:38",9,28,8588571
407,2-комн.кв.,"Авиационная ул, 77к2",81.0,Щукинская м.,purple,Размещено 10 февраля,"сегодня, 10:39",30,33,40800000
26,2-комн.кв.,"Введенского ул, 10-2",45.0,Беляево м.,orange,Размещено 14 февраля,29 марта,3,9,12900000
1073,2-комн.кв.,", 1к1",55.0,Станция не указана,Ветка не указана,Размещено 14 февраля,"сегодня, 00:39",4,28,11286608
15,2-комн.кв.,"Измайловский пр-кт, 91к1",39.0,Первомайская м.,blue,Размещено 20 марта,26 марта,10,12,13050000
961,1-комн.кв.,"Радужная ул, 4",35.0,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",8,12,6491468
817,3-комн.кв.,", 7",59.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:24",9,17,11198688
1209,3-комн.кв.,", 1к1",67.0,Станция не указана,Ветка не указана,Размещено 23 января,"сегодня, 00:35",20,31,13614941
504,1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",37.0,Бунинская аллея м.,cyan,"сегодня, 00:03","сегодня, 00:03",7,11,8777472
150,1-комн.кв.,"Барышиха ул, 33к1",44.0,Митино м.,blue,Размещено 26 марта,"сегодня, 10:39",12,14,13499997
343,2-комн.кв.,"Юных Ленинцев ул, 113к1",37.0,Кузьминки м.,purple,Размещено 16 марта,"сегодня, 10:39",7,9,13100000
155,1-комн.кв.,"Маршала Тухачевского ул, 19",3.0,Улица Народного Ополчения,Ветка не указана,Размещено 25 марта,"сегодня, 10:39",12,12,10500000
1155,3-комн.кв.,", 1к1",70.0,Станция не указана,Ветка не указана,Размещено 8 февраля,"сегодня, 00:38",3,28,14216010
605,3-комн.кв.,"Радужная ул, 4",79.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:15",6,12,9192917
1149,2-комн.кв.,", 1к1",55.0,Станция не указана,Ветка не указана,Размещено 24 февраля,"сегодня, 00:40",16,28,11594698
1581,1-комн.кв.,"Камова ул, д.7к1",38.0,Станция не указана,Ветка не указана,Размещено 24 ноября 2021,"сегодня, 00:23",7,17,7687971
1131,1-комн.кв.,", 1к1",35.0,Станция не указана,Ветка не указана,Размещено 9 февраля,"сегодня, 00:38",3,28,8597304
741,1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",36.0,Бунинская аллея м.,cyan,Размещено 12 марта,"сегодня, 00:23",3,13,10308933
1170,3-комн.кв.,", 1",58.0,Станция не указана,Ветка не указана,Размещено 2 февраля,"сегодня, 00:38",5,17,7806662
707,2-комн.кв.,", 1к1",50.0,Станция не указана,Ветка не указана,Размещено 15 марта,"сегодня, 00:39",11,31,10468152
1382,1-комн.кв.,"Камова ул, д.7к1",33.0,Станция не указана,Ветка не указана,Размещено 29 января,"сегодня, 00:37",10,17,7193623
166,1-комн.кв.,"Перервинский б-р, 15к1",38.0,Братиславская м.,lightgreen,Размещено 20 марта,26 марта,13,15,13600000
348,1-комн.кв.,"Спасо-Тушинский б-р, 5",39.0,Планерная м.,purple,Размещено 12 марта,"сегодня, 10:03",16,25,10000000
934,2-комн.кв.,", 1к1",55.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",21,28,11677688
1612,2-комн.кв.,"Недорубова ул, 32",66.0,Некрасовка м.,purpledark,Размещено 28 октября 2021,"сегодня, 00:21",13,17,15202078
1498,2-комн.кв.,", 3",41.0,Станция не указана,Ветка не указана,Размещено 21 декабря 2021,"сегодня, 00:32",12,17,6484821
1501,2-комн.кв.,", 3",4.0,Станция не указана,Ветка не указана,Размещено 14 декабря 2021,"сегодня, 00:31",14,17,6366806
1032,2-комн.кв.,"Радужная ул, 4",41.0,Станция не указана,Ветка не указана,Размещено 16 февраля,"сегодня, 00:39",12,12,6693069
1565,2-комн.кв.,"Недорубова ул, 32",75.0,Некрасовка м.,purpledark,Размещено 09 ноября 2021,"сегодня, 00:23",16,22,16784254
611,2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",40.0,Бунинская аллея м.,cyan,Размещено 26 марта,"сегодня, 00:34",14,15,9281576
820,3-комн.кв.,", 1к1",71.0,Станция не указана,Ветка не указана,Размещено 3 марта,"сегодня, 00:31",21,28,14766546
242,3-комн.кв.,"Тверская-Ямская 1-я ул, 11",105.0,Маяковская м.,Ветка не указана,Размещено 14 января,"сегодня, 10:39",8,8,59000000
1578,1-комн.кв.,", 1к1",30.0,Станция не указана,Ветка не указана,Размещено 28 октября 2021,"сегодня, 00:19",14,28,7619565
710,2-комн.кв.,", 1",50.0,Станция не указана,Ветка не указана,Размещено 22 марта,"сегодня, 00:25",14,17,10684833
626,3-комн.кв.,", 1",6.0,Станция не указана,Ветка не указана,Размещено 24 марта,"сегодня, 00:14",10,17,8264838
138,2-комн.кв.,"Витебская ул, 3к1",53.0,Молодежная м.,blue,Размещено 27 ноября 2020,26 марта,1,17,11990000
917,3-комн.кв.,"Радужная ул, 4",79.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",10,12,9281948
1572,1-комн.кв.,"Недорубова ул, 32",53.0,Некрасовка м.,purpledark,Размещено 11 декабря 2021,"сегодня, 00:15",5,19,11588622
617,3-комн.кв.,"Радужная ул, 4",5.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:37",6,12,7620281
24,2-комн.кв.,"Проезд черского, 21а",49.0,Бибирево м.,gray,Размещено 21 февраля,26 марта,11,14,17000000
283,1-комн.кв.,"Долгопрудная аллея, 15к3",4.0,Долгопрудная,Ветка не указана,Размещено 27 марта,"сегодня, 10:39",7,14,11500000
849,1-комн.кв.,"Камова ул, д.7к1",37.0,Станция не указана,Ветка не указана,Размещено 1 марта,"сегодня, 00:35",8,17,7354667
1412,2-комн.кв.,", 7",47.0,Станция не указана,Ветка не указана,Размещено 14 декабря 2021,"сегодня, 00:30",15,17,9353233
1427,1-комн.кв.,", 7",4.0,Станция не указана,Ветка не указана,Размещено 14 декабря 2021,"сегодня, 00:31",15,17,6211444
714,1-комн.кв.,"Камова ул, д.7к1",30.0,Станция не указана,Ветка не указана,Размещено 15 марта,30 марта,8,17,6241138
775,2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",41.0,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:39",8,15,8848397
1633,1-комн.кв.,"Камова ул, д.7к1",37.0,Станция не указана,Ветка не указана,Размещено 05 октября 2021,"сегодня, 00:22",16,17,7470901
229,1-комн.кв.,"Павелецкий 3-й проезд, 11А",39.0,Тульская м.,gray,Размещено 1 февраля,"сегодня, 10:39",8,14,12900000
676,3-комн.кв.,"Маресьева ул, 6к1",59.0,Некрасовка м.,purpledark,Размещено 22 марта,"сегодня, 00:27",7,22,15081003
1179,2-комн.кв.,", 2",36.0,Станция не указана,Ветка не указана,Размещено 24 февраля,"сегодня, 00:40",11,15,8200448
724,2-комн.кв.,", 3",55.0,Станция не указана,Ветка не указана,Размещено 22 марта,30 марта,5,17,10920328
35,3-комн.кв.,"Зорге ул, 9к3",68.0,Полежаевская м.,purple,Размещено 29 марта,"сегодня, 10:03",6,20,27103200
1367,2-комн.кв.,", 3",47.0,Станция не указана,Ветка не указана,Размещено 14 декабря 2021,"сегодня, 00:30",11,17,9412776
1636,1-комн.кв.,"Камова ул, д.7к1",36.0,Станция не указана,Ветка не указана,Размещено 05 октября 2021,"сегодня, 00:23",15,17,7355388
1388,2-комн.кв.,", 1",50.0,Станция не указана,Ветка не указана,Размещено 17 декабря 2021,"сегодня, 00:31",10,17,7086163
705,3-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",50.0,Бунинская аллея м.,cyan,Размещено 15 марта,"сегодня, 00:41",14,15,10631586
1626,1-комн.кв.,", 1к1",6.0,Станция не указана,Ветка не указана,Размещено 05 октября 2021,"сегодня, 00:13",27,31,7397092
1394,2-комн.кв.,"Мелитопольская 1-я ул, 4",37.0,Бутово (МЦД-2),Ветка не указана,Размещено 16 апреля 2021,"сегодня, 16:02",10,16,8600000
1043,2-комн.кв.,"Радужная ул, 4",58.0,Станция не указана,Ветка не указана,Размещено 15 февраля,"сегодня, 00:39",12,12,8127244
1373,2-комн.кв.,", 7",35.0,Станция не указана,Ветка не указана,Размещено 14 декабря 2021,"сегодня, 00:30",16,17,7730275
263,2-комн.кв.,"Шмитовский проезд, 39к1",40.0,Шелепиха м.,Ветка не указана,Размещено 15 декабря 2021,"сегодня, 10:39",15,53,39990000
122,2-комн.кв.,"Булатниковский проезд, 14к5",46.0,Пражская м.,gray,21 февраля,21 февраля,12,12,12500000
1284,1-комн.кв.,", 1к1",31.0,Станция не указана,Ветка не указана,Размещено 8 февраля,"сегодня, 00:38",18,28,8066791
31,3-комн.кв.,"Нахимовский пр-кт, 28 1",58.0,Профсоюзная м.,orange,Размещено 28 марта,29 марта,8,9,24290000
634,1-комн.кв.,"Маресьева ул, 6к1",38.0,Некрасовка м.,purpledark,Размещено 22 марта,"сегодня, 00:18",5,22,12899447
1023,1-комн.кв.,"Радужная ул, 4",35.0,Станция не указана,Ветка не указана,Размещено 18 февраля,"сегодня, 00:39",12,12,6855372
535,3-комн.кв.,"Радужная ул, 4",79.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:37",6,12,9192917
556,2-комн.кв.,"Радужная ул, 4",58.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:30",6,12,7691133
780,1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",6.0,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:26",8,15,6810295
6,2-комн.кв.,"Расковой ул, 33 1",35.0,Савеловская м.,Ветка не указана,"сегодня, 16:24","сегодня, 16:24",3,5,13500000
1140,3-комн.кв.,", 1к1",70.0,Станция не указана,Ветка не указана,Размещено 8 февраля,"сегодня, 00:38",9,28,14300857
278,3-комн.кв.,"Молостовых ул, 5",65.0,Новогиреево м.,yellow,Размещено 30 марта,"сегодня, 10:39",12,12,17550000
112,3-комн.кв.,"Мичуринский пр-кт, 29",13.0,Раменки м.,yellow,Размещено 17 марта,"сегодня, 10:03",4,19,50000000
1290,2-комн.кв.,", 3",36.0,Станция не указана,Ветка не указана,Размещено 25 февраля,"сегодня, 00:40",13,17,5679023
291,2-комн.кв.,", панельный",55.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 18:32",5,5,4250000
3,2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",53.0,Бунинская аллея м.,cyan,Размещено 12 марта,"сегодня, 00:41",5,12,14933723
1490,2-комн.кв.,", 3",59.0,Станция не указана,Ветка не указана,Размещено 16 декабря 2021,"сегодня, 00:31",6,17,8880551
1528,1-комн.кв.,"Камова ул, д.7к1",33.0,Станция не указана,Ветка не указана,Размещено 22 ноября 2021,"сегодня, 00:14",14,17,4894112
1183,1-комн.кв.,", 1к1",30.0,Станция не указана,Ветка не указана,Размещено 29 января,"сегодня, 00:37",22,28,7693938
1229,2-комн.кв.,", 2",53.0,Станция не указана,Ветка не указана,Размещено 18 января,"сегодня, 00:35",13,15,10348600
666,1-комн.кв.,", 1",3.0,Станция не указана,Ветка не указана,Размещено 22 марта,"сегодня, 00:20",14,17,8157277
130,3-комн.кв.,"Зелинского ул, 5а",56.0,Станция не указана,Ветка не указана,Размещено 4 февраля,"сегодня, 13:06",3,5,4750000
948,1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",37.0,Бунинская аллея м.,cyan,Размещено 22 февраля,"сегодня, 00:12",8,13,10444392
1566,3-комн.кв.,", 3",57.0,Станция не указана,Ветка не указана,Размещено 26 ноября 2021,"сегодня, 00:27",16,17,8751944
549,1-комн.кв.,", 1",33.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:09",17,17,8060144
646,1-комн.кв.,", 3",36.0,Станция не указана,Ветка не указана,Размещено 22 марта,"сегодня, 00:35",3,17,7873581
747,1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",37.0,Бунинская аллея м.,cyan,Размещено 12 марта,"сегодня, 00:17",3,13,10681747
1007,3-комн.кв.,"Радужная ул, 4",58.0,Станция не указана,Ветка не указана,Размещено 18 февраля,"сегодня, 00:39",12,12,8422558
45,1-комн.кв.,"Зеленодольская ул, 31 1",60.0,Кузьминки м.,purple,Размещено 25 марта,28 марта,7,24,16700000
1439,2-комн.кв.,", 3",40.0,Станция не указана,Ветка не указана,Размещено 03 декабря 2021,"сегодня, 00:27",12,17,6528267
205,3-комн.кв.,"Новочеркасский б-р, 53",75.0,Марьино м.,lightgreen,Размещено 26 февраля,"сегодня, 10:39",3,17,20300000
181,1-комн.кв.,"Погонный проезд, 14",44.0,Бульвар Рокоссовского м.,Ветка не указана,Размещено 12 марта,"сегодня, 10:39",15,25,16800000
827,2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",55.0,Бунинская аллея м.,cyan,Размещено 2 марта,"сегодня, 00:11",13,15,10839633
438,1-комн.кв.,"Игоря Мерлушкина ул, 1",49.0,Станция не указана,Ветка не указана,Размещено 8 января,"сегодня, 13:17",25,25,7850000
1468,2-комн.кв.,", 3",4.0,Станция не указана,Ветка не указана,Размещено 25 декабря 2021,"сегодня, 00:33",16,17,6384758
1330,1-комн.кв.,"Камова ул, д.7к1",37.0,Станция не указана,Ветка не указана,Размещено 25 января,"сегодня, 00:36",10,17,7346282
186,1-комн.кв.,"Щепкина ул, 13",9.0,Сухаревская м.,orange,Размещено 8 марта,"сегодня, 12:07",4,6,5030000
735,1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",39.0,Бунинская аллея м.,cyan,Размещено 12 марта,"сегодня, 00:13",3,13,11470486
119,3-комн.кв.,"Школьная ул, 1",80.0,Станция не указана,Ветка не указана,Размещено 25 февраля,26 марта,14,17,9500000
441,2-комн.кв.,"Университетский пр-кт, 21к4",46.0,Ломоносовский проспект м.,yellow,Размещено 29 декабря 2021,27 марта,1,8,14800000
1630,2-комн.кв.,", 1к1",58.0,Станция не указана,Ветка не указана,Размещено 05 октября 2021,"сегодня, 00:19",16,28,11410790
709,1-комн.кв.,", 3",37.0,Станция не указана,Ветка не указана,Размещено 22 марта,"сегодня, 00:10",7,17,7855729
1429,1-комн.кв.,"Камова ул, д.7к1",38.0,Станция не указана,Ветка не указана,Размещено 4 января,"сегодня, 00:33",13,17,7587059
1580,2-комн.кв.,"Камова ул, д.7к1",34.0,Станция не указана,Ветка не указана,Размещено 24 ноября 2021,"сегодня, 00:26",17,17,7478875
672,2-комн.кв.,", 1",55.0,Станция не указана,Ветка не указана,Размещено 22 марта,"сегодня, 00:13",15,17,11194312
824,2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",34.0,Бунинская аллея м.,cyan,Размещено 2 марта,"сегодня, 00:15",11,11,8123446
622,3-комн.кв.,", 1",58.0,Станция не указана,Ветка не указана,Размещено 24 марта,"сегодня, 00:18",6,17,7825726
1303,2-комн.кв.,", 5",53.0,Станция не указана,Ветка не указана,Размещено 8 февраля,"сегодня, 00:15",11,12,10511133
1617,2-комн.кв.,", 1к1",56.0,Станция не указана,Ветка не указана,Размещено 23 октября 2021,"сегодня, 00:13",20,28,11282985
299,2-комн.кв.,"Соколиной Горы 10-я ул, 20",43.0,"Семёновская,Шоссе Энтузиастов",Ветка не указана,Размещено 26 марта,"сегодня, 10:39",6,9,13200000
957,3-комн.кв.,"Радужная ул, 4",5.0,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",12,12,8050444
1385,2-комн.кв.,", 1",50.0,Станция не указана,Ветка не указана,Размещено 11 декабря 2021,"сегодня, 00:30",8,17,7052305
1531,1-комн.кв.,"Камова ул, д.7к1",38.0,Станция не указана,Ветка не указана,Размещено 06 ноября 2021,"сегодня, 00:21",12,17,7575978
659,2-комн.кв.,"Маресьева ул, 6к1",47.0,Некрасовка м.,purpledark,Размещено 22 марта,"сегодня, 00:34",7,22,13255445
444,2-комн.кв.,", 15а",64.0,Станция не указана,Ветка не указана,Размещено 22 декабря 2021,11 марта,6,7,14000000
574,3-комн.кв.,"Радужная ул, 4",5.0,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:21",6,12,7620281
0,2-комн.кв.,"Недорубова ул, 32",61.0,Некрасовка м.,purpledark,Размещено 11 ноября 2021,"сегодня, 00:11",3,17,14596904
1549,3-комн.кв.,"Недорубова ул, 32",80.0,Некрасовка м.,purpledark,Размещено 28 октября 2021,"сегодня, 00:18",14,19,16281833
273,2-комн.кв.,"Новочеркасский б-р, 49",5.0,Марьино м.,lightgreen,"сегодня, 00:03","сегодня, 00:03",10,14,15250000
1489,2-комн.кв.,", 3",59.0,Станция не указана,Ветка не указана,Размещено 16 декабря 2021,"сегодня, 00:31",12,17,9015594
1573,2-комн.кв.,"Недорубова ул, 32",57.0,Некрасовка м.,purpledark,Размещено 28 октября 2021,"сегодня, 00:19",16,17,13966932
90,3-комн.кв.,"Липецкая ул, 17 1",73.0,Царицыно м.,green,Размещено 23 февраля,26 марта,16,17,15800000
1511,2-комн.кв.,", 3",47.0,Станция не указана,Ветка не указана,Размещено 14 декабря 2021,"сегодня, 00:30",9,17,9623367
1240,1-комн.кв.,", 1",36.0,Станция не указана,Ветка не указана,Размещено 15 января,"сегодня, 00:34",8,17,6019081
1311,1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",8.0,Бунинская аллея м.,cyan,Размещено 4 января,"сегодня, 00:33",11,12,7396044
1064,3-комн.кв.,"Радужная ул, 4",78.0,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:41",10,11,9297589
1495,1-комн.кв.,"Камова ул, д.7к1",38.0,Станция не указана,Ветка не указана,Размещено 07 декабря 2021,"сегодня, 00:29",8,17,7501912
1230,2-комн.кв.,", 2",36.0,Станция не указана,Ветка не указана,Размещено 18 января,"сегодня, 00:35",13,15,8207934
1416,1-комн.кв.,"Недорубова ул, 32",36.0,Некрасовка м.,purpledark,Размещено 30 ноября 2021,"сегодня, 00:14",13,23,10438355
232,3-комн.кв.,"Комсомольский пр-кт, 9",5.0,Парк культуры м.,Ветка не указана,Размещено 27 января,"сегодня, 10:39",3,8,39000000
1392,1-комн.кв.,"Недорубова ул, 32",40.0,Некрасовка м.,purpledark,Размещено 11 декабря 2021,"сегодня, 00:30",5,23,10551560
1162,2-комн.кв.,", 1к1",58.0,Станция не указана,Ветка не указана,Размещено 15 февраля,"сегодня, 00:35",8,28,11234200
